Time,Ws_name,Message
2024-03-15 11:09:56,Volumetrica WS,Pong: {}
2024-03-15 11:10:00,Tradestation WS,"Heartbeat:152, Timestamp:2024-03-15T10:10:01Z"
2024-03-15 11:10:01,Volumetrica WS,Pong: {}
2024-03-15 11:10:05,Tradestation WS,"Heartbeat:153, Timestamp:2024-03-15T10:10:06Z"
2024-03-15 11:10:06,Volumetrica WS,Pong: {}
2024-03-15 11:10:10,Tradestation WS,"Heartbeat:154, Timestamp:2024-03-15T10:10:11Z"
2024-03-15 11:10:11,Volumetrica WS,Pong: {}
2024-03-15 11:10:15,Tradestation WS,"Heartbeat:155, Timestamp:2024-03-15T10:10:16Z"
2024-03-15 11:10:16,Volumetrica WS,Pong: {}
2024-03-15 11:10:20,Tradestation WS,"Heartbeat:156, Timestamp:2024-03-15T10:10:21Z"
2024-03-15 11:10:21,Volumetrica WS,Pong: {}
2024-03-15 11:10:25,Tradestation WS,"Heartbeat:157, Timestamp:2024-03-15T10:10:26Z"
2024-03-15 11:10:26,Volumetrica WS,Pong: {}
2024-03-15 11:10:30,Tradestation WS,"Heartbeat:158, Timestamp:2024-03-15T10:10:31Z"
2024-03-15 11:10:31,Volumetrica WS,Pong: {}
2024-03-15 11:10:35,Tradestation WS,"Heartbeat:159, Timestamp:2024-03-15T10:10:36Z"
2024-03-15 11:10:36,Volumetrica WS,Pong: {}
2024-03-15 11:10:40,Tradestation WS,"Heartbeat:160, Timestamp:2024-03-15T10:10:41Z"
2024-03-15 11:10:41,Volumetrica WS,Pong: {}
2024-03-15 11:10:45,Tradestation WS,"Heartbeat:161, Timestamp:2024-03-15T10:10:46Z"
2024-03-15 11:10:46,Volumetrica WS,Pong: {}
2024-03-15 11:10:50,Tradestation WS,"Heartbeat:162, Timestamp:2024-03-15T10:10:51Z"
2024-03-15 11:10:51,Volumetrica WS,Pong: {}
